STATION,ICAO
AB ABEE AGDM,CXAF
AB ANDREW AGDM,CXAG
AB ATMORE AGDM,CXAJ
AB BANFF (MARS),CWZG
AB BARNWELL AGDM,CXBW
AB BEAVERLODGE,CWBM
AB BODO AGDM,CXBA
AB BOW ISLAND,CWXL
AB BOW VALLEY,CWXA
AB BROCKET AGDM,CXBR
AB BROOKS (AUTOB),CWBO
AB CALGARY INTNL AR,CYYC
AB CALGARY/SPRINGBA,CYBW
AB CARDSTON (AUT),CWFJ
AB CHAMPION AGDM,CXCP
AB CLARESHOLM (AUTO,CWDK
AB CLEARDALE AGDM,CXCD
AB COLD LAKE (CAN,CYOD
AB CONSORT AGDM,CXCS
AB CORONATION(AUT),CWCT
AB CROWSNEST,CWRT
AB DAPP AGDM,CXDP
AB DEL BONITA AGDM,CXDB
AB DRUMHELLER EAST,CWDZ
AB EDMONTON INTL AR,CYEG
AB EDMONTON INTL AR,CXEG
AB EDMONTON MUNI,CXEC
AB EDMONTON MUNICIP,CYXD
AB EDMONTON/NAMAO(M,CYED
AB EDMONTON/STONY P,CWSE
AB EDMONTON/STONY P,CZED
AB EDMONTON/STONY P,CXPS
AB EDMONTON/VILLENU,CZVL
AB EDSON AIRPORT,CYET
AB EDSON,CZZJ
AB ESTHER 1,CWGY
AB FAIRVIEW AGDM,CXFR
AB FOREMOST AGDM,CXFM
AB FORT CHIPEWYAN A,CYPY
AB FORT MCMURRAY AR,CYMM
AB FORT MCMURRAY AR,CXMM
AB FORT VERMILLION,CXFV
AB GRANDE PRAIRE AR,CYQU
AB HIGH LEVEL AIRPO,CYOJ
AB HIGH PRAIRIE AGD,CXHP
AB HIGHVALE,CWHA
AB HOLDEN AGDM,CXHD
AB HUSSAR AGDM,CXHR
AB JASPER WARDEN (A,CWJW
AB KILLAM AGDM,CXKM
AB LAC LA BICHE (MA,CWLB
AB LETHBRIDGE VOR,CYQL
AB LLOYDMINSTER ARP,CYLL
AB MANNING AGDM,CXMG
AB MASINASIN AGDM,CXMN
AB MEDICINE HAT,CYXH
AB MEDICINE HAT,CXMH
AB MILK RIVER,CWRY
AB MORRIN AGDM,CXMO
AB MUNDARE AGDM,CZMU
AB NORDEGG CS,CXND
AB OLDS AGDM,CXOL
AB OLIVER AGDM,CZOL
AB OYEN AGDM,CXOY
AB ONEFOUR (AUTOB),CWOE
AB PEACE RIVER AIRP,CYPE
AB PEORIA AGDM,CXPA
AB PINCHER CREEK(M,CZPC
AB POLLOCKVILLE AGD,CXPL
AB PRAIRIE RIVER,CXPV
AB PRENTISS,CZPS
AB PRIMROSE LAKE,CWIQ
AB PRIMROSE LAKE 2,CWOU
AB RED DEER AIRPORT,CYQF
AB RICH LAKE AGDM,CXRL
AB ROCKY HOUSE (MAR,CWRM
AB SCHULER AGDM,CXSC
AB SCHULER RADAR,CXBU
AB SLAVE LAKE AIRPO,CYZH
AB SMOKY LAKE AGDM,CXSL
AB SPIRIT RIVER,CXSR
AB STETTLER AGDM,CXAK
AB ST PAUL AGDM,CXSP
AB SUFFIELD AIRPORT,CYSD
AB SUNDRE,CWAV
AB THREE HILLS,CWHI
AB TURTLE MTN CS,CWQA
AB TWO HILLS AGDM,CXTH
AB VALLEYVIEW AGDM,CXVW
AB VEGREVILLE (AUTO,CWVI
AB VERMILION AGDM,CXVM
AB WATERTON PARK GA,CWGM
AB WHITECOURT AIRPO,CYZU
AB WHITECOURT AIRPO,CXZU
AB WRENTHAN AGDM,CXWM
AB YOHO PARK (AUTOB,CWYL
AB BLOOD TRIBE AGDM,CPBT
AB ENCHANT AGDM,CPEH
AB FINCASTLE AGDM,CPFI
AB IRON SPRINGS,CPIR
AB LETHBRIDGE DEMO,CPQL
AB ROSEMARY AGDM,CPRO
AB RAYMOND AGDM,CPRY
AB STRATHMORE AGDM,CPST
AB SEVEN PERSONS,CPSV
AB BOW ISLAND AGDM,CPXL
BC ABBOTSFORD AIRPO,CYXX
BC ADDENBROKE ISL (,CWCZ
BC AGASSIZ (AUTO),CWZA
BC AMPHITRITE POINT,CWAN
BC BALLENAS IL AUTO,CWGB
BC BELLA COOLA ARPT,CYBD
BC BELLA BELLA,CBBC
BC BIG CREEK(AUTO),CWBG
BC BLEIBLER RANCH,CYIN
BC BLUE RIVER (MAN),CYCP
BC BLUE RIVER (MARS,CWSV
BC BOAT BLUFF (LGT,CWZM
BC BONILLA ISL (MAP,CWWL
BC BONILLA ISLAND (,CWVB
BC BURNS LAKE,CWPZ
BC CAMPBELL RIVER A,CYBL
BC CAPE MUDGE (LGT,CWAD
BC CAPE SCOTT (LGT,CWES
BC CAPE ST JAMES,CWZV
BC CASTLEGAR AIRPOR,CYCG
BC CATHEDRAL PT(MAP,CWME
BC CHATHAM POINT (L,CWFM
BC CHETWYND AIRPORT,CYCQ
BC CLINTON (MARS),CWCL
BC COMOX (CAN MIL),CYQQ
BC CRANBROOK,CYXC
BC CRESTON (AUTOB),CWJR
BC CUMSHEWA ISL (MA,CWZL
BC DAWSON CREEK ARP,CYDQ
BC DEASE LAKE,CWDL
BC DEASE LAKE,CYDL
BC DEASE LAKE CS,CWKX
BC DISCOVERY ISLAND,CWDR
BC DRYAD POINT (LGT,CWAU
BC EGG ISLAND,CWEM
